_seq	close	high	low	open	symbol	volume	datetime
14864	183.900	184.100	183.900	184.100	FB	536	2019-08-22 09:00:00-04:00
15243	184.090	184.090	184.090	184.090	FB	2	2019-08-22 09:01:00-04:00
15539	184.100	184.100	184.100	184.100	FB	1	2019-08-22 09:02:00-04:00
15801	183.910	183.910	183.900	183.900	FB	11	2019-08-22 09:03:00-04:00
15988	184.100	184.100	183.990	183.990	FB	214	2019-08-22 09:04:00-04:00
16355	183.930	184.094	183.930	184.000	FB	64	2019-08-22 09:05:00-04:00
16614	184.060	184.060	183.900	183.930	FB	539	2019-08-22 09:06:00-04:00
16910	184.100	184.100	183.900	183.910	FB	186	2019-08-22 09:07:00-04:00
17175	183.940	184.100	183.900	183.930	FB	975	2019-08-22 09:08:00-04:00
17428	184.000	184.000	184.000	184.000	FB	1	2019-08-22 09:09:00-04:00
17699	183.910	184.000	183.910	183.910	FB	106	2019-08-22 09:10:00-04:00
17984	184.000	184.000	184.000	184.000	FB	5	2019-08-22 09:11:00-04:00
18258	184.000	184.000	184.000	184.000	FB	20	2019-08-22 09:12:00-04:00
18509	183.970	183.970	183.970	183.970	FB	3	2019-08-22 09:13:00-04:00
18715	183.900	183.988	183.830	183.830	FB	350	2019-08-22 09:14:00-04:00
19038	184.000	184.000	183.830	183.900	FB	1517	2019-08-22 09:15:00-04:00
19285	183.990	183.990	183.840	183.840	FB	206	2019-08-22 09:16:00-04:00
19478	183.760	183.840	183.700	183.840	FB	1521	2019-08-22 09:17:00-04:00
19725	183.800	183.800	183.640	183.640	FB	38	2019-08-22 09:18:00-04:00
20047	183.700	183.800	183.700	183.730	FB	1308	2019-08-22 09:19:00-04:00
20291	183.820	183.820	183.651	183.651	FB	160	2019-08-22 09:20:00-04:00
20545	183.800	183.800	183.800	183.800	FB	48	2019-08-22 09:21:00-04:00
20802	183.800	183.800	183.800	183.800	FB	20	2019-08-22 09:22:00-04:00
21067	183.800	183.800	183.800	183.800	FB	25	2019-08-22 09:23:00-04:00
21330	183.560	183.800	183.560	183.650	FB	5292	2019-08-22 09:24:00-04:00
21605	183.510	183.630	183.510	183.630	FB	24	2019-08-22 09:25:00-04:00
21901	183.500	183.630	183.500	183.630	FB	610	2019-08-22 09:26:00-04:00
22126	183.509	183.630	183.509	183.620	FB	4413	2019-08-22 09:27:00-04:00
22645	183.470	183.500	183.420	183.500	FB	2856	2019-08-22 09:28:00-04:00
23038	183.510	183.510	183.420	183.420	FB	1410	2019-08-22 09:29:00-04:00
24194	183.390	183.870	183.260	183.510	FB	210867	2019-08-22 09:30:00-04:00
31175	183.748	184.150	183.380	183.380	FB	45873	2019-08-22 09:31:00-04:00
34072	183.565	183.909	183.500	183.755	FB	22799	2019-08-22 09:32:00-04:00
37264	183.640	183.710	183.300	183.500	FB	35274	2019-08-22 09:33:00-04:00
40623	183.740	183.790	183.600	183.620	FB	9214	2019-08-22 09:34:00-04:00
44501	183.900	184.000	183.670	183.760	FB	26497	2019-08-22 09:35:00-04:00
48191	184.090	184.100	183.970	183.980	FB	55074	2019-08-22 09:36:00-04:00
51368	183.910	184.100	183.790	184.075	FB	59810	2019-08-22 09:37:00-04:00
55560	183.760	183.960	183.660	183.940	FB	27749	2019-08-22 09:38:00-04:00
59167	183.450	183.820	183.360	183.810	FB	44067	2019-08-22 09:39:00-04:00
62121	183.612	183.759	183.460	183.490	FB	19082	2019-08-22 09:40:00-04:00
65354	183.730	183.790	183.610	183.620	FB	34326	2019-08-22 09:41:00-04:00
69059	183.897	183.923	183.680	183.720	FB	37694	2019-08-22 09:42:00-04:00
72291	183.766	183.920	183.630	183.908	FB	33889	2019-08-22 09:43:00-04:00
75688	183.650	183.790	183.610	183.770	FB	15164	2019-08-22 09:44:00-04:00
78968	183.585	183.760	183.400	183.620	FB	32982	2019-08-22 09:45:00-04:00
82796	183.500	183.580	183.340	183.580	FB	35042	2019-08-22 09:46:00-04:00
86179	183.450	183.575	183.450	183.470	FB	25017	2019-08-22 09:47:00-04:00
89981	183.480	183.570	183.380	183.460	FB	14066	2019-08-22 09:48:00-04:00
93303	183.670	183.706	183.450	183.480	FB	11104	2019-08-22 09:49:00-04:00
96599	183.570	183.660	183.490	183.660	FB	11175	2019-08-22 09:50:00-04:00
100266	183.560	183.630	183.451	183.560	FB	35748	2019-08-22 09:51:00-04:00
103763	183.540	183.630	183.490	183.550	FB	15682	2019-08-22 09:52:00-04:00
106887	183.556	183.640	183.500	183.520	FB	15911	2019-08-22 09:53:00-04:00
110598	183.560	183.670	183.540	183.570	FB	17027	2019-08-22 09:54:00-04:00
113628	183.550	183.670	183.440	183.600	FB	22657	2019-08-22 09:55:00-04:00
117216	183.468	183.660	183.430	183.550	FB	18883	2019-08-22 09:56:00-04:00
120699	183.320	183.550	183.310	183.470	FB	25066	2019-08-22 09:57:00-04:00
123895	183.000	183.340	182.960	183.330	FB	104041	2019-08-22 09:58:00-04:00
127280	182.960	183.050	182.890	182.990	FB	48139	2019-08-22 09:59:00-04:00
130771	182.924	183.140	182.880	182.980	FB	35914	2019-08-22 10:00:00-04:00
134731	183.040	183.080	182.880	182.930	FB	23721	2019-08-22 10:01:00-04:00
138189	182.950	183.050	182.920	183.040	FB	31432	2019-08-22 10:02:00-04:00
141893	182.940	183.090	182.850	182.920	FB	57105	2019-08-22 10:03:00-04:00
145406	182.970	183.090	182.961	182.988	FB	37371	2019-08-22 10:04:00-04:00
148980	182.630	182.970	182.590	182.970	FB	49890	2019-08-22 10:05:00-04:00
152889	182.590	182.750	182.530	182.630	FB	37613	2019-08-22 10:06:00-04:00
156100	182.420	182.600	182.340	182.583	FB	68407	2019-08-22 10:07:00-04:00
159898	182.300	182.450	182.268	182.420	FB	56733	2019-08-22 10:08:00-04:00
163597	182.218	182.370	182.210	182.330	FB	31043	2019-08-22 10:09:00-04:00
166975	182.159	182.250	182.088	182.210	FB	74832	2019-08-22 10:10:00-04:00
170251	182.040	182.220	181.910	182.160	FB	213896	2019-08-22 10:11:00-04:00
174195	182.130	182.200	182.020	182.030	FB	60326	2019-08-22 10:12:00-04:00
177489	181.920	182.210	181.910	182.140	FB	56220	2019-08-22 10:13:00-04:00
180907	181.680	181.933	181.600	181.900	FB	103192	2019-08-22 10:14:00-04:00
184623	181.780	181.940	181.620	181.680	FB	70944	2019-08-22 10:15:00-04:00
188206	181.871	181.940	181.770	181.792	FB	63284	2019-08-22 10:16:00-04:00
191577	181.940	182.030	181.830	181.906	FB	72921	2019-08-22 10:17:00-04:00
194923	182.020	182.160	181.900	181.950	FB	53206	2019-08-22 10:18:00-04:00
199209	181.890	182.030	181.840	182.020	FB	51637	2019-08-22 10:19:00-04:00
202518	181.920	181.940	181.760	181.875	FB	77563	2019-08-22 10:20:00-04:00
206470	181.735	181.890	181.700	181.890	FB	34649	2019-08-22 10:21:00-04:00
210272	181.430	181.746	181.380	181.746	FB	64291	2019-08-22 10:22:00-04:00
213820	181.519	181.600	181.380	181.430	FB	32081	2019-08-22 10:23:00-04:00
217552	181.440	181.550	181.410	181.470	FB	24716	2019-08-22 10:24:00-04:00
221122	181.370	181.420	181.300	181.410	FB	38232	2019-08-22 10:25:00-04:00
224869	181.100	181.390	181.010	181.383	FB	62971	2019-08-22 10:26:00-04:00
228496	181.010	181.110	180.950	181.100	FB	54202	2019-08-22 10:27:00-04:00
232553	181.020	181.160	180.890	181.010	FB	60448	2019-08-22 10:28:00-04:00
236445	180.948	181.079	180.880	181.021	FB	34949	2019-08-22 10:29:00-04:00
240250	180.710	180.950	180.560	180.940	FB	84368	2019-08-22 10:30:00-04:00
244460	180.410	180.750	180.220	180.710	FB	82327	2019-08-22 10:31:00-04:00
248437	180.300	180.540	180.240	180.440	FB	83464	2019-08-22 10:32:00-04:00
252262	180.100	180.379	179.910	180.270	FB	171312	2019-08-22 10:33:00-04:00
256390	180.328	180.380	180.020	180.060	FB	59802	2019-08-22 10:34:00-04:00
260321	180.170	180.480	180.170	180.340	FB	52580	2019-08-22 10:35:00-04:00
264565	180.343	180.370	179.950	180.160	FB	49462	2019-08-22 10:36:00-04:00
268889	180.660	180.740	180.330	180.330	FB	83442	2019-08-22 10:37:00-04:00
272865	180.740	180.740	180.580	180.667	FB	33176	2019-08-22 10:38:00-04:00
276790	180.704	180.750	180.590	180.690	FB	44814	2019-08-22 10:39:00-04:00
280157	180.645	180.730	180.540	180.715	FB	61046	2019-08-22 10:40:00-04:00
283869	180.750	180.820	180.630	180.660	FB	42180	2019-08-22 10:41:00-04:00
287485	180.830	180.840	180.670	180.750	FB	40907	2019-08-22 10:42:00-04:00
291314	180.650	180.920	180.620	180.810	FB	55788	2019-08-22 10:43:00-04:00
295551	180.570	180.710	180.460	180.655	FB	41013	2019-08-22 10:44:00-04:00
299356	180.689	180.710	180.430	180.570	FB	45433	2019-08-22 10:45:00-04:00
303865	180.889	180.950	180.670	180.690	FB	40184	2019-08-22 10:46:00-04:00
307573	180.694	180.930	180.550	180.885	FB	33100	2019-08-22 10:47:00-04:00
311369	180.775	180.890	180.670	180.706	FB	20606	2019-08-22 10:48:00-04:00
314966	180.930	180.950	180.725	180.751	FB	46975	2019-08-22 10:49:00-04:00
319036	180.910	180.980	180.840	180.930	FB	26600	2019-08-22 10:50:00-04:00
323272	180.744	180.930	180.720	180.910	FB	34767	2019-08-22 10:51:00-04:00
326730	180.676	180.850	180.605	180.755	FB	27960	2019-08-22 10:52:00-04:00
330785	180.990	180.990	180.630	180.675	FB	61421	2019-08-22 10:53:00-04:00
335216	180.760	181.130	180.720	180.990	FB	84232	2019-08-22 10:54:00-04:00
338423	180.725	180.830	180.520	180.755	FB	48319	2019-08-22 10:55:00-04:00
341994	180.770	180.840	180.680	180.710	FB	22855	2019-08-22 10:56:00-04:00
345571	180.828	180.880	180.690	180.790	FB	15039	2019-08-22 10:57:00-04:00
349100	180.850	180.860	180.730	180.810	FB	15311	2019-08-22 10:58:00-04:00
352610	180.705	180.820	180.600	180.820	FB	33458	2019-08-22 10:59:00-04:00
356632	180.870	181.210	180.680	180.720	FB	40717	2019-08-22 11:00:00-04:00
360856	180.720	180.950	180.700	180.850	FB	33994	2019-08-22 11:01:00-04:00
365152	180.760	180.890	180.720	180.750	FB	19456	2019-08-22 11:02:00-04:00
369156	180.780	180.810	180.550	180.790	FB	25000	2019-08-22 11:03:00-04:00
372699	180.660	180.789	180.610	180.760	FB	26541	2019-08-22 11:04:00-04:00
376037	180.830	180.860	180.600	180.665	FB	28384	2019-08-22 11:05:00-04:00
380305	181.100	181.110	180.820	180.860	FB	45326	2019-08-22 11:06:00-04:00
383734	181.240	181.309	181.070	181.110	FB	33341	2019-08-22 11:07:00-04:00
387614	181.120	181.288	181.100	181.230	FB	24253	2019-08-22 11:08:00-04:00
391342	180.908	181.160	180.908	181.120	FB	20073	2019-08-22 11:09:00-04:00
395216	180.980	180.980	180.850	180.921	FB	22429	2019-08-22 11:10:00-04:00
399937	181.030	181.150	180.965	180.980	FB	21587	2019-08-22 11:11:00-04:00
403428	180.980	181.050	180.960	181.025	FB	20034	2019-08-22 11:12:00-04:00
407114	181.205	181.210	180.960	180.980	FB	36151	2019-08-22 11:13:00-04:00
410773	181.070	181.220	181.020	181.200	FB	25997	2019-08-22 11:14:00-04:00
414806	181.090	181.130	181.000	181.070	FB	21072	2019-08-22 11:15:00-04:00
418502	181.180	181.220	181.088	181.088	FB	15006	2019-08-22 11:16:00-04:00
422221	181.220	181.300	181.170	181.180	FB	20349	2019-08-22 11:17:00-04:00
425709	181.160	181.240	181.090	181.225	FB	15868	2019-08-22 11:18:00-04:00
429482	181.080	181.220	181.050	181.150	FB	11667	2019-08-22 11:19:00-04:00
433077	181.142	181.150	181.000	181.100	FB	32106	2019-08-22 11:20:00-04:00
436735	181.252	181.325	181.110	181.140	FB	18916	2019-08-22 11:21:00-04:00
440659	181.190	181.270	181.110	181.250	FB	14931	2019-08-22 11:22:00-04:00
444250	181.240	181.280	181.160	181.200	FB	15450	2019-08-22 11:23:00-04:00
447449	181.210	181.300	181.172	181.260	FB	19159	2019-08-22 11:24:00-04:00
451046	181.360	181.390	181.210	181.210	FB	20797	2019-08-22 11:25:00-04:00
454584	181.310	181.391	181.290	181.380	FB	19418	2019-08-22 11:26:00-04:00
458140	181.370	181.390	181.290	181.308	FB	15057	2019-08-22 11:27:00-04:00
461951	181.390	181.480	181.365	181.370	FB	29430	2019-08-22 11:28:00-04:00
465612	181.173	181.410	181.160	181.395	FB	36794	2019-08-22 11:29:00-04:00
469551	181.140	181.350	181.120	181.160	FB	27955	2019-08-22 11:30:00-04:00
473470	181.190	181.300	181.030	181.140	FB	18026	2019-08-22 11:31:00-04:00
476831	181.135	181.256	181.110	181.200	FB	7740	2019-08-22 11:32:00-04:00
480353	181.236	181.240	181.120	181.130	FB	6329	2019-08-22 11:33:00-04:00
483827	181.336	181.410	181.230	181.235	FB	16273	2019-08-22 11:34:00-04:00
487687	181.550	181.550	181.340	181.360	FB	19255	2019-08-22 11:35:00-04:00
491269	181.500	181.565	181.440	181.540	FB	18644	2019-08-22 11:36:00-04:00
494503	181.530	181.650	181.490	181.500	FB	61417	2019-08-22 11:37:00-04:00
498045	181.450	181.570	181.387	181.550	FB	28784	2019-08-22 11:38:00-04:00
501602	181.445	181.590	181.420	181.450	FB	35676	2019-08-22 11:39:00-04:00
504791	181.330	181.500	181.280	181.445	FB	17394	2019-08-22 11:40:00-04:00
508500	181.480	181.480	181.290	181.335	FB	16080	2019-08-22 11:41:00-04:00
512470	181.310	181.465	181.270	181.450	FB	8696	2019-08-22 11:42:00-04:00
515487	181.350	181.370	181.281	181.322	FB	7451	2019-08-22 11:43:00-04:00
518940	181.340	181.380	181.300	181.370	FB	6822	2019-08-22 11:44:00-04:00
522494	181.240	181.420	181.160	181.350	FB	25474	2019-08-22 11:45:00-04:00
526517	181.140	181.330	181.090	181.250	FB	15999	2019-08-22 11:46:00-04:00
529971	181.120	181.160	181.070	181.160	FB	10018	2019-08-22 11:47:00-04:00
533615	181.030	181.130	180.980	181.130	FB	32235	2019-08-22 11:48:00-04:00
536653	181.090	181.120	180.970	181.030	FB	9895	2019-08-22 11:49:00-04:00
539973	181.050	181.135	181.010	181.070	FB	15279	2019-08-22 11:50:00-04:00
543945	181.033	181.100	180.990	181.010	FB	12950	2019-08-22 11:51:00-04:00
547313	181.100	181.190	181.035	181.050	FB	6033	2019-08-22 11:52:00-04:00
550565	181.080	181.170	181.053	181.070	FB	6725	2019-08-22 11:53:00-04:00
553948	181.117	181.130	181.080	181.105	FB	9653	2019-08-22 11:54:00-04:00
557418	181.000	181.210	180.980	181.100	FB	22398	2019-08-22 11:55:00-04:00
560684	180.960	181.060	180.930	181.020	FB	15831	2019-08-22 11:56:00-04:00
565771	180.960	180.980	180.870	180.960	FB	12950	2019-08-22 11:57:00-04:00
567694	180.944	180.970	180.870	180.935	FB	16340	2019-08-22 11:58:00-04:00
571098	180.920	180.970	180.860	180.950	FB	15888	2019-08-22 11:59:00-04:00
574749	180.960	181.030	180.880	180.890	FB	11281	2019-08-22 12:00:00-04:00
578271	181.040	181.050	180.920	180.970	FB	14144	2019-08-22 12:01:00-04:00
582111	181.170	181.200	181.010	181.011	FB	14207	2019-08-22 12:02:00-04:00
585511	181.120	181.260	181.120	181.170	FB	17855	2019-08-22 12:03:00-04:00
589400	181.111	181.161	181.020	181.110	FB	10495	2019-08-22 12:04:00-04:00
592721	181.175	181.200	181.099	181.100	FB	11521	2019-08-22 12:05:00-04:00
595852	181.280	181.310	181.200	181.200	FB	13620	2019-08-22 12:06:00-04:00
599491	181.450	181.500	181.280	181.280	FB	17656	2019-08-22 12:07:00-04:00
603237	181.428	181.490	181.400	181.480	FB	12254	2019-08-22 12:08:00-04:00
606887	181.420	181.490	181.414	181.420	FB	6240	2019-08-22 12:09:00-04:00
610159	181.360	181.440	181.330	181.435	FB	7856	2019-08-22 12:10:00-04:00
613837	181.311	181.380	181.270	181.350	FB	7147	2019-08-22 12:11:00-04:00
616799	181.220	181.350	181.220	181.319	FB	12168	2019-08-22 12:12:00-04:00
620679	181.346	181.370	181.220	181.250	FB	7577	2019-08-22 12:13:00-04:00
623810	181.330	181.390	181.320	181.338	FB	5516	2019-08-22 12:14:00-04:00
627363	181.420	181.420	181.310	181.350	FB	5628	2019-08-22 12:15:00-04:00
630845	181.346	181.463	181.320	181.450	FB	6183	2019-08-22 12:16:00-04:00
634255	181.289	181.362	181.270	181.344	FB	21153	2019-08-22 12:17:00-04:00
637070	181.255	181.300	181.170	181.300	FB	9604	2019-08-22 12:18:00-04:00
640977	181.280	181.350	181.240	181.240	FB	5341	2019-08-22 12:19:00-04:00
644060	181.170	181.280	181.140	181.258	FB	5115	2019-08-22 12:20:00-04:00
647122	181.175	181.220	181.140	181.150	FB	3720	2019-08-22 12:21:00-04:00
650450	181.170	181.230	181.130	181.175	FB	9015	2019-08-22 12:22:00-04:00
653790	181.180	181.220	181.140	181.170	FB	3638	2019-08-22 12:23:00-04:00
657234	181.186	181.290	181.186	181.190	FB	7928	2019-08-22 12:24:00-04:00
660641	181.210	181.260	181.170	181.185	FB	7408	2019-08-22 12:25:00-04:00
663855	181.182	181.210	181.170	181.180	FB	6347	2019-08-22 12:26:00-04:00
667574	181.240	181.248	181.180	181.180	FB	6869	2019-08-22 12:27:00-04:00
670769	181.286	181.300	181.210	181.210	FB	7499	2019-08-22 12:28:00-04:00
673735	181.345	181.350	181.270	181.290	FB	8987	2019-08-22 12:29:00-04:00
677245	181.360	181.380	181.330	181.350	FB	13193	2019-08-22 12:30:00-04:00
680661	181.460	181.481	181.360	181.360	FB	16221	2019-08-22 12:31:00-04:00
685508	181.560	181.576	181.450	181.450	FB	8933	2019-08-22 12:32:00-04:00
687417	181.260	181.550	181.230	181.550	FB	21794	2019-08-22 12:33:00-04:00
691099	181.270	181.330	181.240	181.260	FB	13462	2019-08-22 12:34:00-04:00
694792	181.234	181.290	181.190	181.280	FB	6472	2019-08-22 12:35:00-04:00
698075	181.190	181.240	181.170	181.210	FB	16088	2019-08-22 12:36:00-04:00
701869	181.170	181.200	181.120	181.190	FB	7712	2019-08-22 12:37:00-04:00
704878	181.200	181.200	181.150	181.150	FB	10560	2019-08-22 12:38:00-04:00
708344	181.200	181.230	181.160	181.191	FB	4738	2019-08-22 12:39:00-04:00
711603	181.210	181.280	181.200	181.218	FB	7118	2019-08-22 12:40:00-04:00
714703	181.330	181.330	181.185	181.200	FB	8448	2019-08-22 12:41:00-04:00
